,game_name,game_genres,game_image,game_release_date,game_price,review_text,review_score,language
0,PUBG: BATTLEGROUNDS,"Action, Adventure, Massively Multiplayer, Free To Play",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/578080/header.jpg?t=1726725837,2017-12-21,0.0,"the game is generally good, it is even interesting to play.. but my ""respect"" to players from the Far East on the European servers, as well as the technical part of the game",True,english
1,PUBG: BATTLEGROUNDS,"Action, Adventure, Massively Multiplayer, Free To Play",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/578080/header.jpg?t=1726725837,2017-12-21,0.0,"I liked it better when it wasnt a free game, but the core gameplay is still fun.",True,english
2,PUBG: BATTLEGROUNDS,"Action, Adventure, Massively Multiplayer, Free To Play",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/578080/header.jpg?t=1726725837,2017-12-21,0.0,Cancer bad disgusting game,False,english
3,PUBG: BATTLEGROUNDS,"Action, Adventure, Massively Multiplayer, Free To Play",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/578080/header.jpg?t=1726725837,2017-12-21,0.0,Dag komandolarina karsi oynanmadigi surece zevkli,True,english
4,PUBG: BATTLEGROUNDS,"Action, Adventure, Massively Multiplayer, Free To Play",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/578080/header.jpg?t=1726725837,2017-12-21,0.0,The game is good overall fun to play but Full of clickers with hack's and cheat's..... zero gamer's these dayZ,True,english
5,PUBG: BATTLEGROUNDS,"Action, Adventure, Massively Multiplayer, Free To Play",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/578080/header.jpg?t=1726725837,2017-12-21,0.0,best game except hackers but lately its not as bad,True,english
6,PUBG: BATTLEGROUNDS,"Action, Adventure, Massively Multiplayer, Free To Play",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/578080/header.jpg?t=1726725837,2017-12-21,0.0,its okey,True,english
7,PUBG: BATTLEGROUNDS,"Action, Adventure, Massively Multiplayer, Free To Play",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/578080/header.jpg?t=1726725837,2017-12-21,0.0,babaci,True,english
9,PUBG: BATTLEGROUNDS,"Action, Adventure, Massively Multiplayer, Free To Play",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/578080/header.jpg?t=1726725837,2017-12-21,0.0,สนุกดีสำหรับเกมฟรี แต่อยากให้มีโหมดเยอะๆกว่านี้ เหมือนเวอร์ชั่นมือถือ,True,english
10,PUBG: BATTLEGROUNDS,"Action, Adventure, Massively Multiplayer, Free To Play",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/578080/header.jpg?t=1726725837,2017-12-21,0.0,goated game.,True,english
11,PUBG: BATTLEGROUNDS,"Action, Adventure, Massively Multiplayer, Free To Play",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/578080/header.jpg?t=1726725837,2017-12-21,0.0,Too many hackers,False,english
12,PUBG: BATTLEGROUNDS,"Action, Adventure, Massively Multiplayer, Free To Play",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/578080/header.jpg?t=1726725837,2017-12-21,0.0,Jogo bom pra resenhar com os amigos,True,english
13,PUBG: BATTLEGROUNDS,"Action, Adventure, Massively Multiplayer, Free To Play",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/578080/header.jpg?t=1726725837,2017-12-21,0.0,Best BR ever made.,True,english
14,PUBG: BATTLEGROUNDS,"Action, Adventure, Massively Multiplayer, Free To Play",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/578080/header.jpg?t=1726725837,2017-12-21,0.0,Best Battle royale game ever!,True,english
15,PUBG: BATTLEGROUNDS,"Action, Adventure, Massively Multiplayer, Free To Play",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/578080/header.jpg?t=1726725837,2017-12-21,0.0,t,True,english
16,PUBG: BATTLEGROUNDS,"Action, Adventure, Massively Multiplayer, Free To Play",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/578080/header.jpg?t=1726725837,2017-12-21,0.0,so good,True,english
17,PUBG: BATTLEGROUNDS,"Action, Adventure, Massively Multiplayer, Free To Play",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/578080/header.jpg?t=1726725837,2017-12-21,0.0,With the advent of forced training mode I will never play this game again.,False,english
18,PUBG: BATTLEGROUNDS,"Action, Adventure, Massively Multiplayer, Free To Play",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/578080/header.jpg?t=1726725837,2017-12-21,0.0,"Best Battle Royale available! Still great in 2024! I just wish Krafton focused more on quality of life improvements than on skins, dances and lame stuff like that but oh well...",True,english
19,PUBG: BATTLEGROUNDS,"Action, Adventure, Massively Multiplayer, Free To Play",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/578080/header.jpg?t=1726725837,2017-12-21,0.0,pubg need I say more,True,english
20,PUBG: BATTLEGROUNDS,"Action, Adventure, Massively Multiplayer, Free To Play",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/578080/header.jpg?t=1726725837,2017-12-21,0.0,its a game i allways go back to to play a few games.,True,english
21,PUBG: BATTLEGROUNDS,"Action, Adventure, Massively Multiplayer, Free To Play",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/578080/header.jpg?t=1726725837,2017-12-21,0.0,Good game.,True,english
22,PUBG: BATTLEGROUNDS,"Action, Adventure, Massively Multiplayer, Free To Play",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/578080/header.jpg?t=1726725837,2017-12-21,0.0,Beep Beep Boop,False,english
23,PUBG: BATTLEGROUNDS,"Action, Adventure, Massively Multiplayer, Free To Play",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/578080/header.jpg?t=1726725837,2017-12-21,0.0,"saya merasa beberapa hari ini aneh, sepertinya banyak cheater yang beredar, sering saya di tembak dengan tidak wajar. tolong di kondisikan.",False,english
24,PUBG: BATTLEGROUNDS,"Action, Adventure, Massively Multiplayer, Free To Play",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/578080/header.jpg?t=1726725837,2017-12-21,0.0,no,False,english
25,PUBG: BATTLEGROUNDS,"Action, Adventure, Massively Multiplayer, Free To Play",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/578080/header.jpg?t=1726725837,2017-12-21,0.0,fun but cant play rank,True,english
26,PUBG: BATTLEGROUNDS,"Action, Adventure, Massively Multiplayer, Free To Play",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/578080/header.jpg?t=1726725837,2017-12-21,0.0,Great game with friends you're gonna have lots of fun,True,english
27,PUBG: BATTLEGROUNDS,"Action, Adventure, Massively Multiplayer, Free To Play",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/578080/header.jpg?t=1726725837,2017-12-21,0.0,Is there any other game to play?,True,english
28,PUBG: BATTLEGROUNDS,"Action, Adventure, Massively Multiplayer, Free To Play",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/578080/header.jpg?t=1726725837,2017-12-21,0.0,nice,True,english
29,PUBG: BATTLEGROUNDS,"Action, Adventure, Massively Multiplayer, Free To Play",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/578080/header.jpg?t=1726725837,2017-12-21,0.0,Got banned for killing 1 teammate in random squads with a molotov on accident for 1 WEEK. So why is there even friendly fire? If people can't accept that friendly fire happens then they should play solo. There is no reason to ban someone for playing the game.,False,english
30,PUBG: BATTLEGROUNDS,"Action, Adventure, Massively Multiplayer, Free To Play",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/578080/header.jpg?t=1726725837,2017-12-21,0.0,ITS AWESOME  BUT MAKE IT SO I CAN PLAY IN THIRD PERSON I HATE STUPID FIRST PERSON BUT I LIKE PLAYING THE ARCADE,True,english
31,PUBG: BATTLEGROUNDS,"Action, Adventure, Massively Multiplayer, Free To Play",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/578080/header.jpg?t=1726725837,2017-12-21,0.0,great game,True,english
32,PUBG: BATTLEGROUNDS,"Action, Adventure, Massively Multiplayer, Free To Play",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/578080/header.jpg?t=1726725837,2017-12-21,0.0,The best game,True,english
33,PUBG: BATTLEGROUNDS,"Action, Adventure, Massively Multiplayer, Free To Play",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/578080/header.jpg?t=1726725837,2017-12-21,0.0,good fun with friends,True,english
34,PUBG: BATTLEGROUNDS,"Action, Adventure, Massively Multiplayer, Free To Play",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/578080/header.jpg?t=1726725837,2017-12-21,0.0,"Fun game, challenging and still relevant.
",True,english
35,PUBG: BATTLEGROUNDS,"Action, Adventure, Massively Multiplayer, Free To Play",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/578080/header.jpg?t=1726725837,2017-12-21,0.0,frustratingly addictive,True,english
36,PUBG: BATTLEGROUNDS,"Action, Adventure, Massively Multiplayer, Free To Play",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/578080/header.jpg?t=1726725837,2017-12-21,0.0,"Fun as hell. Realistic mechanics and physics, constant feeling of danger, requires great skills that most of us doesn't have but is fun though",True,english
37,PUBG: BATTLEGROUNDS,"Action, Adventure, Massively Multiplayer, Free To Play",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/578080/header.jpg?t=1726725837,2017-12-21,0.0,scgood,True,english
38,PUBG: BATTLEGROUNDS,"Action, Adventure, Massively Multiplayer, Free To Play",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/578080/header.jpg?t=1726725837,2017-12-21,0.0,"Been playing this game for years now, so here are my 2 cents on the game for new players.

This game is hard, like vary hard, if you are new you will die a lot to older players.  So here are a few things you can do to get better at the game.

1. Don't cheat.  You will not get better if you do cheat and you will make the game worse by doing so.
2. Listen to your surroundings.  This can make you win or loss a game just because you could not hear where the other players shots are coming from so you put your back towards the player shooting at you instead of facing them.
3. Do not land at popular sites, this is an easy and fast way to go back to the lobby, instead look for locations at least 1km from where the plane is flying and go there.
4. Play with friends and use VOIP.  You can use the in game VOIP, but what I use is Discord.
5. Don't go more then 100 m from your team mates.  This way when one of you is in trouble, 3 of your team mates are at positions to aid you.  Also don't be to close to each other, as this makes you easier to spot and makes it harder for you and your team mates to return fire when you are in a fire fight.
6. When you see someone, ping them so your team mates know where they are and can aid it taking them down.
7. Take a automatic weapon and a long range weapon (DMR or SR).  My suggestion for a new player is a SMG and a DMR.  For SMG use one of the 3, UMP, VECTOR, MP5K.  As for DMR's, use SLR or DRAGUNOV.
8. Carry at least 4 First Aid kits, 10 bandages, and 4 boosts.
9. Carry 2-3 Smoke grenades.
10. Just have fun.

",True,english
39,PUBG: BATTLEGROUNDS,"Action, Adventure, Massively Multiplayer, Free To Play",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/578080/header.jpg?t=1726725837,2017-12-21,0.0,"Gameplay part: Best in battle royale genre. No doubt. Can also mention, that developers upgrade this game and (most of the times) listen to players.

New content, etc.: Ok. Collaborations with Lamborghini, Ducati and McLaren are....interesting, but the other ""content"" is just not bad, but you can't call it great.

9/10",True,english
40,PUBG: BATTLEGROUNDS,"Action, Adventure, Massively Multiplayer, Free To Play",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/578080/header.jpg?t=1726725837,2017-12-21,0.0,great br,True,english
